ID,Created (ext),Ship By,Shop name,Name,Grand total,Status,Priority,Dropshipping,Tracking Number(s),Country code,Buyer email,Phone,Print state,Currency code,Products,Sheet(s),Material,Size,Parameters,ID (Internal),External ID,SKU,SKU and Subtotal,Full Address
#1450192,2026-06-14 01:39:08,2026-06-17 01:39:08,SHOPIFY: Harbour & Co,Avery Lane,95.0,New,,NO,,US,avery.lane66@yahoo.com,817.555.0153,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41155,4645221761073,2001989,2001989: 60,"233 S Wacker Dr, Chicago, IL 60606"
4087536226,2026-06-14 01:01:32,2026-06-25 03:59:00,ETSY: Willow Print Studio,James Torres,74.78,New,,NO,,US,james.torres79@outlook.com,(212) 555-0134,,USD,Marble Vein - Coastal Beach Version - Peel & Stick or Non-Pasted 1 sheet(s),1,,30x96,"Material: Peel & Stick
Dimensions: 30W x 96H inches
Personalization: —",41153,4087536226,0051,0051: 70.55,"350 Fifth Avenue, New York, NY 10118"
#1449936,2026-06-13 21:25:35,2026-06-16 21:25:35,SHOPIFY: Harbour & Co,Hannah Cole,68.0,New,,NO,,US,hannah.cole88@gmail.com,4045550121,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41149,4645136531505,2001989,2001989: 60,"500 Oracle Pkwy, Redwood City, CA 94065"
#1449922,2026-06-13 21:15:29,2026-06-16 21:15:29,SHOPIFY: Harbour & Co,James Ford,60.0,New,,NO,,US,james.ford34@yahoo.com,214.555.0163,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41148,4645132304433,2001989,2001989: 60,"350 Fifth Avenue, New York, NY 10118"
40860,2026-06-13 20:16:53,2026-06-16 20:16:53,SHOPIFY: Indigo & Oak,Nova Torres,1325.45,New,,NO,,US,nova.torres75@icloud.com,(415) 555-0198,,USD,"Fern Hollow - Traditional / 10' Length 1 sheet(s);
Fern Hollow - Traditional / 10' Length 6 sheet(s);
Fern Hollow - Traditional / 8' Length 4 sheet(s)","1, 6, 4","Nonpasted, Nonpasted, Nonpasted","30x120, 30x120, 30x96","Item Type: 15% Waste & Error Overage



",41147,6760994832598,"WP-0004;
WP-0004;
WP-0004","WP-0004: 129.95;
WP-0004: 779.7;
WP-0004: 415.8","500 Oracle Pkwy, Redwood City, CA 94065"
#1449752,2026-06-13 19:06:34,2026-06-16 19:06:34,SHOPIFY: Harbour & Co,David Howard,274.0,New,,NO,,US,david.howard64@hotmail.com,(310) 555-0187,,USD,"Forest Canopy - 108"" 1 sheet(s);
Forest Canopy - 96"" 1 sheet(s)","1, 1","Textile, Textile","30x108, 30x96",,41146,4645080858673,"2001991;
2001990","2001991: 123;
2001990: 110","1600 Pennsylvania Ave, Washington, DC 20500"
#1449735,2026-06-13 18:55:16,2026-06-16 18:55:16,SHOPIFY: Harbour & Co,Aria Peterson,100.0,New,,NO,,US,aria.peterson94@icloud.com,404.555.0121,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41145,4645075943473,2001989,2001989: 60,"1600 Pennsylvania Ave, Washington, DC 20500"
#1449544,2026-06-13 16:36:49,2026-06-16 16:36:49,SHOPIFY: Harbour & Co,Olivia Henderson,210.0,New,,NO,,US,olivia.henderson35@gmail.com,(312) 555-0176,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41144,4645015027761,2001989,2001989: 60,"500 Oracle Pkwy, Redwood City, CA 94065"
#1449515,2026-06-13 16:17:32,2026-06-16 16:17:32,SHOPIFY: Harbour & Co,Mia Powell,60.0,New,,NO,,CA,mia.powell28@yahoo.com,45550189,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41142,4645006114865,2001989,2001989: 60,"1055 W Georgia St, Vancouver, BC V6E 3P3"
4090177905,2026-06-13 16:08:52,2026-06-15 20:59:00,ETSY: Vellum Walls,Riley Murray,32.23,New,,NO,,US,,+1 (212) 555-0134,,USD,"Dune Grass - Removable Fabric or Vinyl, Non-Pasted | Custom Sizes 2 sheet(s)",2,Textile,30x20,"General material: Peel & Stick Fabric
Size: XL Sample 30"" x 20""
Personalization: 813-365-5248",41141,4090177905,03073,03073: 29.98,"3420 Walnut St, Philadelphia, PA 19104"
40847,2026-06-13 15:32:40,2026-06-16 15:32:40,SHOPIFY: Indigo & Oak,Avery Foster,219.5,New,,NO,,US,avery.foster68@icloud.com,+1 (702) 555-0189,,USD,Slate Geometry - Peel & Stick / 14' Length 1 sheet(s),1,Textile,30x168,,41140,6760441184470,WP-0005,WP-0005: 219.5,"1600 Pennsylvania Ave, Washington, DC 20500"
LGC-1533,2026-06-13 13:42:12,2026-06-16 13:42:12,SHOPIFY: Brightside Murals,Joseph Rivera,1126.86,New,,NO,,US,joseph.rivera82@hotmail.com,404.555.0121,,USD,Ivory Lace - Self-Adhesive Wallpaper / 30″x96″ 14 sheet(s),14,Textile,30x96,,41137,7731956416849,00911,00911: 1126.86,"1600 Pennsylvania Ave, Washington, DC 20500"
4086929220,2026-06-13 13:33:17,2026-06-15 20:59:00,ETSY: Vellum Walls,Chloe Carter,292.15,New,,NO,,FR,,3391553210,,USD,"Copper Leaf - Peel and Stick Wallpaper or Non Pasted Wallpaper / Striped Removable wallpaper / Red self-adhesive wallpaper 1 sheet(s);
Copper Leaf - Peel and Stick Wallpaper or Non Pasted Wallpaper / Striped Removable wallpaper / Red self-adhesive wallpaper 1 sheet(s)","1, 1","Nonpasted, Nonpasted","30x108, 30x394","General material: Non-pasted Wallpaper
Size: 1 Roll 30""W x 394""H
Personalization: 0686700519

General material: Non-pasted Wallpaper
Size: 1 Roll 30""W x 108""H
Personalization: 0686700519",41135,4086929220,"02150;
02150","02150: 210.82;
02150: 73.33","28 Avenue des Champs-Élysées, Paris 75008"
40843,2026-06-13 13:08:15,2026-06-16 13:08:15,SHOPIFY: Indigo & Oak,Henry Watson,727.65,New,,NO,,US,henry.watson57@yahoo.com,817.555.0153,,USD,Twilight Garden - Traditional / 8' Length 7 sheet(s),7,Nonpasted,30x96,,41133,6760161935574,WP-0006,WP-0006: 727.65,"500 Oracle Pkwy, Redwood City, CA 94065"
#1449256,2026-06-13 11:12:47,2026-06-16 11:12:47,SHOPIFY: Harbour & Co,Emma Gomez,118.0,New,,NO,,US,emma.gomez13@yahoo.com,+1 (817) 555-0153,,USD,"Forest Canopy - 96"" 1 sheet(s)",1,Textile,30x96,,41132,4644902273073,2001990,2001990: 110,"1 Infinite Loop, Cupertino, CA 95014"
#1449208,2026-06-13 08:22:30,2026-06-16 08:22:30,SHOPIFY: Harbour & Co,Wyatt Howard,248.0,New,,NO,,US,wyatt.howard38@outlook.com,3105550187,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41130,4644872814641,2001989,2001989: 60,"742 Evergreen Terrace, Springfield, IL 62701"
4086752494,2026-06-13 06:14:48,2026-06-15 20:59:00,ETSY: Vellum Walls,Scarlett Cox,142.88,New,,NO,,US,,+1 (415) 555-0198,,USD,Sandstone Arch 2 sheet(s),2,,,"Length: 72 Inches
Width: 30 Inches
Personalization: 9194402101",41128,4086752494,WP-0007,WP-0007: 129.6,"233 S Wacker Dr, Chicago, IL 60606"
#1449076,2026-06-13 05:29:49,2026-06-16 05:29:49,SHOPIFY: Harbour & Co,Samuel Lane,338.0,New,,NO,,US,samuel.lane79@gmail.com,310.555.0187,,USD,"Forest Canopy - 96"" 3 sheet(s)",3,Textile,30x96,,41127,4644833624113,2001990,2001990: 330,"1 Infinite Loop, Cupertino, CA 95014"
#1448903,2026-06-13 02:55:27,2026-06-16 02:55:27,SHOPIFY: Harbour & Co,Ella Price,165.0,New,,NO,,US,ella.price17@outlook.com,(310) 555-0187,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41126,4644779458609,2001989,2001989: 60,"1 Microsoft Way, Redmond, WA 98052"
6155,2026-06-13 02:53:04,2026-06-16 23:59:59,WOOCOMMERCE: Pebble Court,Grace Murray,230000.0,New,,NO,,KR,grace.murray72@hotmail.com,82098765432,,KRW,Verdant Palm 1 sheet(s),1,,,,41125,6155,WP-0008,WP-0008: 209091,"25 Taepyeong-ro, Busan, Jung-gu 48943"
#1448886,2026-06-13 02:41:18,2026-06-16 02:41:18,SHOPIFY: Harbour & Co,Sophia Murphy,161.0,New,,NO,,US,sophia.murphy71@icloud.com,+1 (312) 555-0176,,USD,"Forest Canopy - 144"" 1 sheet(s)",1,Textile,30x144,,41124,4644773822513,2001993,2001993: 161,"350 Fifth Avenue, New York, NY 10118"
4089769577,2026-06-13 01:44:07,2026-06-25 03:59:00,ETSY: Willow Print Studio,Emma Peterson,142.29,New,,NO,,US,emma.peterson47@proton.me,312.555.0176,,USD,"Saffron Field - Peel and Stick or Traditional 1 sheet(s);
Saffron Field - Peel and Stick or Traditional 1 sheet(s)","1, 1",", ","30x96, 30x72","Material: Peel & Stick
Dimensions: 30W x 72H inches
Personalization: 7164407652

Material: Peel & Stick
Dimensions: 30W x 96H inches
Personalization: 7164407652",41123,4089769577,"0039;
0039","0039: 61.2;
0039: 70.55","500 Oracle Pkwy, Redwood City, CA 94065"
#1448738,2026-06-13 00:44:33,2026-06-16 00:44:33,SHOPIFY: Harbour & Co,Amelia Richardson,133.0,New,,NO,,US,amelia.richardson95@outlook.com,(415) 555-0198,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41122,4644730470449,2001989,2001989: 60,"233 S Wacker Dr, Chicago, IL 60606"
#1448637,2026-06-12 23:27:21,2026-06-15 23:27:21,SHOPIFY: Harbour & Co,Grace Foster,1800.0,New,,NO,,US,grace.foster27@proton.me,310.555.0187,,USD,"Forest Canopy - 48"" 30 sheet(s)",30,Textile,30x48,,41121,4644704878641,2001989,2001989: 1800,"2211 Elm Street, Dallas, TX 75201"
40833,2026-06-12 22:48:54,2026-06-15 22:48:54,SHOPIFY: Indigo & Oak,Ava Russell,207.9,New,,NO,,US,ava.russell17@gmail.com,+1 (617) 555-0142,,USD,Misty Pine - Traditional / 8' Length 2 sheet(s),2,Nonpasted,30x96,,41120,6758956957910,WP-0009,WP-0009: 207.9,"800 N Michigan Ave, Chicago, IL 60611"
40830,2026-06-12 21:30:34,2026-06-15 21:30:34,SHOPIFY: Indigo & Oak,Henry Kelly,103.95,New,,NO,,US,henry.kelly71@outlook.com,4155550198,,USD,Onyx Wave - Traditional / Panel G / 8' Length 1 sheet(s),1,Nonpasted,30x96,,41118,6758868844758,WP-0010,WP-0010: 103.95,"350 Fifth Avenue, New York, NY 10118"
#1448409,2026-06-12 20:40:29,2026-06-15 20:40:29,SHOPIFY: Harbour & Co,Julian Cole,100.0,New,,NO,,US,julian.cole64@proton.me,(503) 555-0145,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41116,4644640948273,2001989,2001989: 60,"1 Microsoft Way, Redmond, WA 98052"
LGC-1532,2026-06-12 20:38:07,2026-06-15 20:38:07,SHOPIFY: Brightside Murals,Joseph Rivera,11.5,New,,NO,,US,joseph.rivera46@gmail.com,(214) 555-0163,,USD,Birch Row - Non-Pasted Wallpaper / SAMPLE 30″x20″ 1 sheet(s),1,Nonpasted,30x20,,41114,7730116788561,01332,01332: 11.5,"800 N Michigan Ave, Chicago, IL 60611"
#1448402,2026-06-12 20:33:31,2026-06-15 20:33:31,SHOPIFY: Harbour & Co,Riley Cole,60.0,New,,NO,,US,riley.cole88@hotmail.com,(415) 555-0198,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41115,4644638556209,2001989,2001989: 60,"500 Oracle Pkwy, Redwood City, CA 94065"
#1448355,2026-06-12 20:04:04,2026-06-15 20:04:04,SHOPIFY: Harbour & Co,Olivia Richardson,60.0,New,,NO,,US,olivia.richardson75@hotmail.com,212.555.0134,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41113,4644625285169,2001989,2001989: 60,"1 Infinite Loop, Cupertino, CA 95014"
#1448340,2026-06-12 19:57:57,2026-06-15 19:57:57,SHOPIFY: Harbour & Co,Aria Cox,110.0,New,,NO,,US,aria.cox49@icloud.com,(212) 555-0134,,USD,"Forest Canopy - 96"" 1 sheet(s)",1,Textile,30x96,,41111,4644622827569,2001990,2001990: 99,"500 Oracle Pkwy, Redwood City, CA 94065"
40826,2026-06-12 19:19:11,2026-06-15 19:19:11,SHOPIFY: Indigo & Oak,Noah Rivera,755.7,New,,NO,,US,noah.rivera35@gmail.com,(404) 555-0121,,USD,Coral Reef - Peel & Stick / 8' Length 6 sheet(s),6,Textile,30x96,,41109,6758644547798,WP-0011,WP-0011: 755.7,"233 S Wacker Dr, Chicago, IL 60606"
4086307266,2026-06-12 19:12:14,2026-06-15 20:59:00,ETSY: Acanthus Home,Ava Foster,46.11,New,,NO,,US,,+1 (310) 555-0187,,USD,"Amber Stripe – Colorful Peel and Stick Wallpaper 1 sheet(s);
Plumage – Peel and Stick Jungle Wallpaper 1 sheet(s)","1, 1","PVC, PVC","30x20, 30x20","Material: Peel & Stick Vinyl
Size: SAMPLE
Personalization: 7047247621

Material: Peel & Stick Vinyl
Size: SAMPLE
Personalization: 7047247621",41108,4086307266,"00115;
00768","00115: 19.99;
00768: 23","1 Infinite Loop, Cupertino, CA 95014"
M55335,2026-06-12 18:25:41,2026-06-15 18:25:41,SHOPIFY: Loft Sixty,Hudson Kelly,52.0,New,,NO,,US,hudson.kelly42@hotmail.com,+1 (817) 555-0153,,USD,"Quartz Bloom - Peel And Stick: 30""x48"" (10 sq ft coverage) 1 sheet(s)",1,Textile,30x48,,41105,11381261009259,FW00156,FW00156: 52,"500 Oracle Pkwy, Redwood City, CA 94065"
40823,2026-06-12 18:18:03,2026-06-15 18:18:03,SHOPIFY: Indigo & Oak,Hazel Gomez,97.95,New,,NO,,US,hazel.gomez67@proton.me,+1 (415) 555-0198,,USD,Twilight Garden - Traditional / 4' Length 1 sheet(s),1,Nonpasted,30x48,,41104,6758502236374,WP-0006,WP-0006: 49.95,"3420 Walnut St, Philadelphia, PA 19104"
#1448183,2026-06-12 18:09:01,2026-06-15 18:09:01,SHOPIFY: Harbour & Co,Layla Coleman,60.0,New,,NO,,US,layla.coleman74@yahoo.com,(404) 555-0121,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41103,4644571578417,2001989,2001989: 60,"3420 Walnut St, Philadelphia, PA 19104"
#1448138,2026-06-12 17:42:36,2026-06-15 17:42:36,SHOPIFY: Harbour & Co,Harper Carter,60.0,New,,NO,,US,harper.carter74@proton.me,617.555.0142,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41102,4644558798897,2001989,2001989: 60,"233 S Wacker Dr, Chicago, IL 60606"
40818,2026-06-12 17:03:24,2026-06-15 17:03:24,SHOPIFY: Indigo & Oak,Joseph Gray,49.95,New,,NO,,US,joseph.gray24@gmail.com,617.555.0142,,USD,Rosewood Trellis - Traditional / 4' Length 1 sheet(s),1,Nonpasted,30x48,,41101,6758341345494,WP-0012,WP-0012: 49.95,"1 Infinite Loop, Cupertino, CA 95014"
#1447964,2026-06-12 16:09:17,2026-06-15 16:09:17,SHOPIFY: Harbour & Co,Samuel Carter,170.0,New,,NO,,US,samuel.carter31@outlook.com,+1 (702) 555-0189,,USD,"Forest Canopy - 96"" 1 sheet(s)",1,Textile,30x96,,41100,4644514168881,2001990,2001990: 110,"800 N Michigan Ave, Chicago, IL 60611"
#1447954,2026-06-12 16:03:25,2026-06-15 16:03:25,SHOPIFY: Harbour & Co,Ella Coleman,118.0,New,,NO,,US,ella.coleman28@icloud.com,214.555.0163,,USD,"Forest Canopy - 96"" 1 sheet(s)",1,Textile,30x96,,41099,4644511350833,2001990,2001990: 110,"2211 Elm Street, Dallas, TX 75201"
#1447938,2026-06-12 15:50:56,2026-06-15 15:50:56,SHOPIFY: Harbour & Co,Amelia Ford,60.0,New,,NO,,GB,amelia.ford81@hotmail.com,+44 214960123,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41098,4644506370097,2001989,2001989: 54,"15 Victoria Square, Birmingham, England B1 1BD"
40814,2026-06-12 15:09:47,2026-06-15 15:09:47,SHOPIFY: Indigo & Oak,Samuel Cox,959.4,New,,NO,,US,samuel.cox60@outlook.com,(404) 555-0121,,USD,"Driftwood - Traditional / 6' Length 2 sheet(s);
Driftwood - Traditional / 6' Length 10 sheet(s)","2, 10","Nonpasted, Nonpasted","30x72, 30x72","Item Type: 15% Waste & Error Overage

",41097,6758083068118,"WP-0013;
WP-0013","WP-0013: 159.9;
WP-0013: 799.5","500 Oracle Pkwy, Redwood City, CA 94065"
40811,2026-06-12 14:21:51,2026-06-15 14:21:51,SHOPIFY: Indigo & Oak,Harper Murphy,1949.25,New,,NO,,US,harper.murphy32@yahoo.com,4155550198,,USD,Ember Floral - Large Scale / Traditional (2.5 ft Width) / 10' Length 15 sheet(s),15,Nonpasted,30x120,,41095,6758002163926,WP-0014,WP-0014: 1656.9,"350 Fifth Avenue, New York, NY 10118"
40810,2026-06-12 14:17:53,2026-06-15 14:17:53,SHOPIFY: Indigo & Oak,Nora Kelly,311.85,New,,NO,,US,nora.kelly10@proton.me,+1 (702) 555-0189,,USD,"Glade Botanical - Traditional / Panel G / 8' Length 1 sheet(s);
Glade Botanical - Traditional / Panel B / 8' Length 1 sheet(s);
Glade Botanical - Traditional / Panel A / 8' Length 1 sheet(s)","1, 1, 1","Nonpasted, Nonpasted, Nonpasted","30x96, 30x96, 30x96",,41094,6757996265686,"WP-0015;
WP-0016;
WP-0017","WP-0015: 103.95;
WP-0016: 103.95;
WP-0017: 103.95","3420 Walnut St, Philadelphia, PA 19104"
#1447736,2026-06-12 13:46:28,2026-06-15 13:46:28,SHOPIFY: Harbour & Co,Emma Brooks,201.0,New,,NO,,US,emma.brooks58@hotmail.com,310.555.0187,,USD,"Forest Canopy - 144"" 1 sheet(s)",1,Textile,30x144,,41092,4644423860273,2001993,2001993: 161,"742 Evergreen Terrace, Springfield, IL 62701"
#33004,2026-06-12 13:45:40,2026-06-15 13:45:40,SHOPIFY: Saffron Studio,Nora Cole,239.99,New,,NO,,US,,3105550187,,USD,"Hazel Mosaic - Dynamic Sports Silhouettes - 120""Wx96""H 1 sheet(s)",1,,,,41093,6658851700948,FW-JM-0148-120X96-PS,FW-JM-0148-120X96-PS: 239.99,"350 Fifth Avenue, New York, NY 10118"
4088273431,2026-06-12 04:44:00,2026-06-17 20:59:00,ETSY: Greyhouse Goods,Chloe Gray,17.91,New,,NO,,US,chloe.gray84@outlook.com,(617) 555-0142,Queued,EUR,Indigo Tide – Geometrical Abstract Peel & Stick or Traditional Wall Covering in Custom Colors 1 sheet(s),1,Nonpasted,30x20,"Size: SAMPLE 30""W x 20""H
General material: Non-Pasted Wallpaper
Select color: 01
Phone number: 3126568273",41067,4088273431,0015_01,0015_01: 16.9,"1 Microsoft Way, Redmond, WA 98052"
4085245678,2026-06-12 04:42:35,2026-06-17 20:59:00,ETSY: Greyhouse Goods,Evelyn Henderson,902.97,New,,NO,,US,evelyn.henderson23@outlook.com,817.555.0153,Completed,EUR,Juniper Vine – Bold Modern Peel & Stick or Traditional Wall Covering in Custom Color 3 sheet(s),3,Nonpasted,30x394,"Size: ROLL 30""W x 394""H
General material: Non-Pasted Wallpaper
Select color: 01
Phone number: 850-232-4758",41076,4085245678,0092_01,0092_01: 839.97,"1600 Pennsylvania Ave, Washington, DC 20500"
#1447039,2026-06-12 01:48:03,2026-06-15 01:48:03,SHOPIFY: Harbour & Co,Evelyn Russell,169.0,New,,NO,,US,evelyn.russell48@outlook.com,(404) 555-0121,,USD,"Forest Canopy - 144"" 1 sheet(s)",1,Textile,30x144,,41088,4644235149361,2001993,2001993: 161,"1 Microsoft Way, Redmond, WA 98052"
4085584674,2026-06-12 00:37:21,2026-06-24 03:59:00,ETSY: Willow Print Studio,Sophia Cole,320.42,New,,NO,,US,sophia.cole61@hotmail.com,+1 (817) 555-0153,Printing,USD,"Larkspur - Western Nursery Kids Room Decor 2 sheet(s);
Larkspur - Western Nursery Kids Room Decor 1 sheet(s)","2, 1","Nonpasted, Nonpasted","30x96, 30x144","Material: Non-Pasted
Dimensions: 30W x 144H inches
Personalization: 601-497-0632

Material: Non-Pasted
Dimensions: 30W x 96H inches
Personalization: 601-497-0632",41086,4085584674,"0045;
0045","0045: 222;
0045: 74","3420 Walnut St, Philadelphia, PA 19104"
40796,2026-06-11 22:26:47,2026-06-14 22:26:47,SHOPIFY: Indigo & Oak,Ella Page,149.85,New,,NO,,US,ella.page72@proton.me,(702) 555-0189,Queued,USD,Moss Stone - Traditional / 4' Length 3 sheet(s),3,Nonpasted,30x48,,41084,6756449255638,WP-0018,WP-0018: 149.85,"233 S Wacker Dr, Chicago, IL 60606"
#1446714,2026-06-11 22:15:19,2026-06-14 22:15:19,SHOPIFY: Harbour & Co,James Dean,60.0,New,,NO,,US,james.dean14@proton.me,702.555.0189,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41083,4644162535473,2001989,2001989: 60,"742 Evergreen Terrace, Springfield, IL 62701"
#1446662,2026-06-11 21:50:59,2026-06-14 21:50:59,SHOPIFY: Harbour & Co,Sebastian Price,60.0,New,,NO,,US,sebastian.price46@gmail.com,3105550187,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41082,4644153425969,2001989,2001989: 60,"800 N Michigan Ave, Chicago, IL 60611"
#1446655,2026-06-11 21:48:47,2026-06-14 21:48:47,SHOPIFY: Harbour & Co,James Carter,60.0,New,,NO,,US,james.carter18@yahoo.com,214.555.0163,,USD,"Forest Canopy - 48"" 1 sheet(s)",1,Textile,30x48,,41081,4644152606769,2001989,2001989: 54,"500 Oracle Pkwy, Redwood City, CA 94065"
56167,2026-06-11 21:31:10,2026-05-21 23:59:59,WOOCOMMERCE: Tideline Decor,Zoe Dean,3174.0,New,,NO,,US,zoe.dean95@yahoo.com,(310) 555-0187,Printing,USD,"Nectar Bloom  9 sheet(s);
Olive Branch  2 sheet(s)","9, 2","Nonpasted, Nonpasted","500x10050, 500x10050","Roll size: 20"" x 32' (50 cm x 10 m) 
Item: FA-BLKB-6
Length: 1005 cm
Format: Repeat

Length: 1005 cm
Item: FV-IRF-7-10
Format: Repeat",39879,56167,"WP-0019;
FV-IRF-7-10","WP-0019: 2061;
FV-IRF-7-10: 1038","233 S Wacker Dr, Chicago, IL 60606"
